Year,Filière,Produit,Production,Superficie
2011,Rosacées,Pacanier,369.0,115.0
2011,Rosacées,Pistachier,101.6,91.0
2011,Rosacées,Poirier,36177.0,3402.0
2011,Rosacées,Pommier,517588.9561166196,37728.073899999894
2011,Rosacées,Prunier,64767.65249159694,12926.69897857141
2011,Rosacées,Pêcher-nectarine,74771.0,5395.86
2011,Sucrières,Betterave à sucre,3035142.5,51729.5
2011,Sucrières,Canne à sucre,763913.0,7645.0
2011,Vignes,Raisin de cuve,89033.33001999998,9198.568399999998
2011,Vignes,Raisin de table,203780.45900723827,34062.916949999984
2012,Agrumes,Autres agrumes,5584.15,732.23
2012,Agrumes,Citron,27278.12,2763.98
2012,Agrumes,Orange_Autres,31602.6,3735.3199999999997
2012,Agrumes,Orange_Maroc late,450519.95,23677.430000000004
2012,Agrumes,Orange_Navel,358614.6,17130.270000000004
2012,Agrumes,Orange_Navel lane late,24543.5,1353.71
2012,Agrumes,Orange_Navel late,4459.0,423.5
2012,Agrumes,Orange_Navelina,387.0,15.0
2012,Agrumes,Orange_Salustiana,31836.88,1066.9
2012,Agrumes,Orange_Washignton sanguine,57875.200000000004,2703.65
2012,Agrumes,Pamplemousse,846.0,73.0
2012,Agrumes,Petit fruit_Autres,35469.100000000006,4403.49
2012,Agrumes,Petit fruit_Clémentine,543867.68,30139.01
2012,Agrumes,Petit fruit_Fortune,1387.0,77.0
2012,Agrumes,Petit fruit_Nador cott,59280.0,3151.5
2012,Agrumes,Petit fruit_Nour,99119.6,6939.89
2012,Agrumes,Petit fruit_Nova,16022.52,938.32
2012,Agrumes,Petit fruit_Nules,100647.82,6881.93
2012,Agrumes,Petit fruit_Ortanique,15875.77,726.01
2012,Amandiers,Amandier,100197.29999999999,147999.17000000004
2012,Céréales,Autres céréales,223.2,248.0
2012,Céréales,Avoine,56057.0,47390.0
2012,Céréales,Blé dur,1130041.5385294994,959257.9999999997
2012,Céréales,Blé tendre,2613241.359816297,2028148.9999999998
2012,Céréales,Mais,79721.39999999997,114965.0
2012,Céréales,Orge,1195413.4688295997,1887833.7834151073
2012,Céréales,Riz,45554.4,5994.0
2012,Céréales,Sorgho,5780.0,6100.0
2012,Fourragères,Avoine vert,328078.0,28868.0
2012,Fourragères,Bersim,3505299.1,66927.0
2012,Fourragères,Lupin,50031.0,4510.0
2012,Fourragères,Luzerne,4154450.4,102631.0
2012,Fourragères,Mais fourrager,695950.0,17576.0
2012,Fourragères,Mélange fourrager,258102.5,25158.0
2012,Fourragères,Orge fourrager,1912932.0,120852.0
2012,Fourragères,Pois fourrager,77989.0,21163.0
2012,Fourragères,Sorgho fourrager,3900.0,150.0
2012,Fourragères,Triticale,11764.0,2580.0
2012,Fourragères,Vesce avoine,180259.5,16675.0
2012,Industrielles,Coriandre récoltée,2574.0,2544.0
2012,Industrielles,Câprier,31700.0,21545.0
2012,Industrielles,Henné,1950.0,1440.0
2012,Industrielles,Safran,4.7,850.0
2012,Industrielles,Tabac,580.0,580.0
2012,Légumineuses,Autres légumineuses,36108.149999999994,42364.0
2012,Légumineuses,Fève,145050.2,184230.0
2012,Légumineuses,Féverole,11936.7,12394.0
2012,Légumineuses,Lentille,21414.69999999998,48535.0
2012,Légumineuses,Orobe,1702.0,5080.0
2012,Légumineuses,Petit pois,29072.19999999999,51372.99999999999
2012,Légumineuses,Pois chiche,25912.599999999995,40417.0
2012,Maraîchage,Ail,5294.0,878.0
2012,Maraîchage,Artichaut,63889.0,3819.0
2012,Maraîchage,Asperge,0.0,0.0
2012,Maraîchage,Aubergine,50147.0,2046.0
2012,Maraîchage,Autres cultures maraichères,316873.0,16753.5
2012,Maraîchage,Betterave potager,34811.0,1100.0
2012,Maraîchage,Carotte,707316.0,14263.999999999998
2012,Maraîchage,Choux fleur,61066.0,2305.0
2012,Maraîchage,Choux pomme,112169.0,2985.8
2012,Maraîchage,Concombre,55334.5,1460.5
2012,Maraîchage,Courge courgette,256519.75,9300.249999999998
2012,Maraîchage,Fraisier,139682.8,3320.1
2012,Maraîchage,Framboise,4043.0871684795998,321.9196675900277
2012,Maraîchage,Fève verte,117736.0,11188.99999999999
